,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
451,Rafa Mir,FWD,Sevilla,41,29,27,3,0,0,1,0,0,0,0,0,3,0
452,Suso,FWD,Sevilla,42,29,25,2,2,3,1,0,0,0,0,0,4,0
453,Lucas Ocampos,MID,Sevilla,29,29,22,2,0,3,6,0,0,0,0,0,0,0
454,Munir El Haddadi,FWD,Getafe,40,29,28,2,1,2,4,0,0,0,0,0,5,0
455,Youssef En-Nesyri,FWD,Sevilla,65,29,36,7,0,0,4,0,0,0,0,0,5,0
456,Dragan Rosic,GK,Almeria,0,29,0,0,0,0,0,0,0,0,0,0,0,0
457,Fernando Martinez,GK,Almeria,85,29,55,0,0,2,3,0,0,0,25,1,11,16
458,Ivan Martos,DEF,Almeria,0,29,0,0,0,0,0,0,0,0,0,0,0,0
459,Juanjo Nieto,DEF,Almeria,0,29,0,0,0,0,0,0,0,0,0,0,0,0
460,Jonathan Silva,DEF,Almeria,0,29,0,0,0,0,0,0,0,0,0,0,0,0
461,Alex Centelles,DEF,Almeria,5,29,11,0,0,0,0,1,0,0,0,0,0,3
462,Houboulang Mendes,DEF,Almeria,13,29,20,0,1,0,1,0,0,0,0,0,0,9
463,Arnau Sola,DEF,Almeria,0,29,0,0,0,0,0,0,0,0,0,0,0,0
464,Nikola Maras,DEF,Almeria,0,29,0,0,0,0,0,0,0,0,0,0,0,0
465,Srdan Babic,DEF,Almeria,66,29,51,3,0,2,4,0,0,0,0,0,8,15
466,Alejandro Pozo,DEF,Almeria,46,29,33,0,2,1,0,0,0,0,0,0,6,3
467,Rodrigo Ely,DEF,Almeria,39,29,56,0,0,2,5,1,1,0,0,0,2,17
468,Chumi,DEF,Almeria,27,29,29,1,0,1,5,0,0,0,0,0,1,8
469,Sergio Akieme Rodriguez,DEF,Almeria,46,29,48,1,0,2,5,0,0,0,0,0,3,14
470,Kaiky,DEF,Almeria,7,29,17,0,0,0,5,0,0,0,0,0,0,5
471,Cesar de la Hoz,MID,Almeria,36,29,31,1,0,2,5,0,0,0,0,0,3,0
472,Curro,MID,Almeria,1,29,2,0,0,0,1,0,0,0,0,0,0,0
473,Gui,MID,Almeria,0,29,0,0,0,0,0,0,0,0,0,0,0,0
474,Inigo Eguaras,MID,Almeria,31,29,27,1,1,1,5,0,0,0,0,0,0,0
475,Jose Carlos Lazo,MID,Almeria,22,29,11,1,1,0,0,0,0,0,0,0,3,0
476,Francisco Portillo,MID,Almeria,30,29,19,2,0,0,1,0,0,0,0,0,2,0
477,Samuel Costa,MID,Almeria,48,29,38,1,1,0,4,0,0,0,0,0,6,0
478,Martin Svidersky,MID,Almeria,0,29,0,0,0,0,0,0,0,0,0,0,0,0
479,Arnau Puigmal,MID,Almeria,23,29,21,1,0,0,4,0,0,0,0,0,1,0
480,Lucas Robertone,MID,Almeria,91,29,54,1,7,5,7,0,0,0,0,0,13,0
481,Arvin Appiah,FWD,Almeria,0,29,0,0,0,0,0,0,0,0,0,0,0,0
482,Marko Milovanovic,FWD,Almeria,1,29,2,0,0,0,1,0,0,0,0,0,0,0
483,Dyego Sousa,FWD,Almeria,18,29,16,0,1,0,1,0,0,0,0,0,0,0
484,Jordi Escobar,FWD,Almeria,0,29,0,0,0,0,0,0,0,0,0,0,0,0
485,Largie Ramazani,FWD,Almeria,45,29,37,3,0,0,5,0,0,1,0,0,3,0
486,Umar Sadiq,FWD,Real Sociedad,19,29,8,3,0,0,1,0,0,0,0,0,0,0
487,Cristian Rivero,GK,Valencia,0,29,0,0,0,0,0,0,0,0,0,0,0,0
488,Jaume Domenech,GK,Valencia,0,29,0,0,0,0,0,0,0,0,0,0,0,0
489,Giorgi Mamardashvili,GK,Valencia,95,29,58,0,0,5,2,0,0,0,19,0,11,11
490,Cristhian Mosquera,DEF,Valencia,4,29,4,0,0,0,0,0,0,0,0,0,0,0
491,Jesus Vazquez,DEF,Valencia,14,29,11,0,0,1,1,0,0,0,0,0,0,0
492,Dimitri Foulquier,DEF,Valencia,35,29,34,0,1,2,4,0,0,0,0,0,0,6
493,Toni Lato,DEF,Valencia,38,29,24,1,0,2,1,0,0,0,0,0,2,1
494,Eray Comert,DEF,Valencia,41,29,35,1,0,2,4,1,0,0,0,0,3,4
495,Thierry Correia,DEF,Valencia,46,29,40,0,0,3,4,0,0,0,0,0,3,5
496,Mouctar Diakhaby,DEF,Valencia,60,29,40,2,0,5,5,1,0,0,0,0,3,7
497,Gabriel Paulista,DEF,Valencia,20,29,23,1,0,0,2,1,0,0,0,0,1,5
498,Jose Luis Gaya,DEF,Valencia,76,29,44,1,2,4,4,0,0,1,0,0,21,11
499,Yellu Santiago,MID,Valencia,0,29,0,0,0,0,0,0,0,0,0,0,0,0
500,Koba Koindredi,MID,Valencia,0,29,0,0,0,0,0,0,0,0,0,0,0,0
501,Hugo Guillamon,MID,Valencia,61,29,42,1,4,5,5,0,1,0,0,0,4,0
502,Uros Racic,MID,Valencia,0,29,0,0,0,0,0,0,0,0,0,0,0,0
503,Samu Castillejo,MID,Valencia,59,29,35,4,0,5,6,0,0,0,0,0,5,0
504,Yunus Musah,MID,Valencia,52,29,46,0,2,5,8,0,0,0,0,0,3,0
