,Name,Slug,Position,Team,Team Slug,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,2GC,PenMiss,Saves Pts,PenSave,Bonus
481,Yangel Herrera,yangel-herrera,M,Girona FC,girona-fc,4,1,2,0,0,1,1,0,0,0,0,0,0,2
482,Yan Couto,couto-yan,M,Girona FC,girona-fc,3,1,2,0,0,1,0,0,0,0,0,0,0,0
483,Toni Villa,toni-villa,M,Girona FC,girona-fc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
484,Borja García,borja-garcia,M,Girona FC,girona-fc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
485,Ibrahima Kébé,ibrahima-kebe,M,Girona FC,girona-fc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
486,Oscar Ureña,oscar-urena,M,Girona,girona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
487,Silvi Clúa,silvi-clua,M,Girona FC,girona-fc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
488,Daley Blind,daley-blind,D,Girona FC,girona-fc,5,1,2,0,0,1,1,0,0,0,0,0,0,0
489,Miguel Gutiérrez,miguel-gutierrez,D,Girona FC,girona-fc,6,1,2,0,0,1,0,0,0,0,0,0,0,0
490,Arnau Martínez,arnau-martinez,D,Girona FC,girona-fc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
491,Alexander Callens,alexander-callens,D,Girona,girona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
492,Santiago Bueno,santiago-bueno,D,Girona,girona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
493,Bernardo Espinosa,bernardo-espinosa,D,Girona FC,girona-fc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
494,David López,david-lopez,D,Girona FC,girona-fc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
495,Valery Fernández,valery-fernandez,D,Girona FC,girona-fc,1,1,1,0,0,0,0,0,0,0,0,0,0,0
496,Juanpe,juanpe,D,Girona FC,girona-fc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
497,Eric Monjonell,eric-monjonell,D,Girona FC,girona-fc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
498,Marc Aznar,marc-aznar,D,Girona FC,girona-fc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
499,Paulo Gazzaniga,paulo-gazzaniga,G,Girona FC,girona-fc,6,1,2,0,0,1,0,0,0,0,0,0,0,0
